NBI DATA - Western Washington,,,,,,,ADT parameter,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"move to left, filter by < than",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHECK FILTERS IN THESE CELLS,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
1,1,,60903000,#N/A,47.33028333,-123.7250194,0,1,0,53,6.0903E+13,1,6,0,22000,0,0,27,0,'E FK HUMPTULIPS RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,20.96,0,0,0,47194902,123433007,0,3,64,64,9,1979,2,0,150,2006,C,8.5,0,0,0,1,N,N,N,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,35.1,36.2,0,0,8.5,9.4,99.99,N,0,N,0,0,8,7,7,7,N,1,90.8,1,44.5,7,6,N,5,8,8,,,0,821,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,0,0,0,20,0,,Y,5,225,2042,0,Y,64,G,7,340.28
1,1,,60903000,#N/A,47.37861944,-123.7933528,0,1,0,53,6.0903E+13,1,6,0,22040,0,0,27,0,'W FK HUMPTULIPS RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,6.56,0,0,0,47224303,123473607,0,3,64,64,9,1951,1,0,50,0,5,4.3,0,0,0,0,N,N,N,4,0,0,0,A,1,5,3,11,3,3,1,2,99.9,50.3,67.7,0,0,4.3,5.1,99.99,N,0,N,0,0,5,5,6,8,N,2,32.7,2,22.7,5,6,N,5,9,6,,,0,921,24,Y24,N  ,N  ,921,,,,,,,,,               ,0,N,3,,0,0,0,1,5,0,0,,0,,Y,9,75,2042,0,Y,64,F,5,345.27
1,0,,60903000,#N/A,47.45752222,-123.7289056,0,1,0,53,6.0903E+13,1,6,0,22040,0,0,27,0,'PETES CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,17.44,0,0,0,47272708,123434406,0,3,64,64,9,1956,1,0,50,0,5,4.9,0,0,0,0,N,N,N,4,0,0,0,P,1,5,7,2,0,0,3,0,99.9,13.7,20.5,0,0,4.3,5.1,99.99,N,0,N,0,0,7,7,7,8,N,2,17.3,2,15.4,4,6,N,2,8,8,,,0,821,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,8,6,0,0,,0,,Y,5,75,2042,0,Y,64,G,7,104.55
1,1,,60903000,#N/A,47.47722222,-123.6988889,0,1,0,53,6.0903E+13,1,6,0,22040,0,0,27,0,'RAMPAGE CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,20.16,0,0,0,47283800,123415600,0,3,64,64,9,1961,1,0,50,0,C,4.3,0,0,0,0,N,N,N,4,0,0,0,A,1,5,4,2,0,0,3,0,99.9,14,18.3,0.3,0.3,4.3,4.9,99.99,N,0,N,0,0,6,6,6,7,N,1,35.4,1,25.4,6,6,N,5,7,8,,,0,921,24,Y24,N  ,N  ,921,,,,,,,,,               ,0,N,3,,0,0,0,1,5,0,0,,0,,Y,7,75,2042,0,Y,64,F,6,89.67
0,0,,60903000,#N/A,47.48361667,-123.6819528,0,1,0,53,6.0903E+13,1,6,0,22040,0,0,27,0,'TEA CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,22.4,0,0,0,47290102,123405503,0,3,64,64,9,1961,1,0,50,0,C,4.3,0,30,0,0,N,N,N,4,0,0,0,A,1,5,3,2,0,0,1,0,99.9,9.2,9.5,0.3,0.3,4.3,4.9,99.99,N,0,N,0,0,7,6,7,7,N,1,48.1,1,34.5,6,6,N,5,8,8,,,0,921,24,Y24,N  ,N  ,921,,,,,,,,,               ,0,N,3,,0,0,0,1,5,0,0,,0,,Y,4,75,2042,0,Y,64,F,6,46.55
1,1,,60903000,#N/A,47.48416944,-123.6344444,0,1,0,53,6.0903E+13,1,6,0,22040,0,0,27,0,'WASHOUT CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,26.72,0,0,0,47290301,123380400,0,3,64,64,9,1989,1,0,25,0,9,4.3,0,0,0,1,1,1,1,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,22.1,22.6,0.3,0.3,4.3,5,99.99,N,0,N,0,0,8,8,8,8,N,1,88.1,1,53.6,8,6,N,5,8,8,,,0,821,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,6,0,0,,0,,Y,5,37,2042,0,Y,64,G,8,113
1,0,,60903000,#N/A,47.48028889,-123.6316889,0,1,0,53,6.0903E+13,1,6,0,22040,0,0,27,0,'E BR W FK HUMPTULIPS',,'NO DATA ENTERED','NO DATA ENTERED',99.99,27.36,0,0,0,47284904,123375408,0,3,64,64,9,1989,1,0,50,0,9,4.3,0,0,0,1,0,0,0,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,23.6,24.1,0.4,0.4,4.3,5,99.99,N,0,N,0,0,8,8,8,6,N,1,88.1,1,53.6,8,6,N,5,8,8,,,0,821,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,6,0,0,,0,,Y,5,75,2042,0,Y,64,G,8,120.5
1,0,,60903000,#N/A,47.47752222,-123.6341667,0,1,0,53,6.0903E+13,1,6,0,22041,0,0,27,0,'SLIDE CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,0.16,0,0,0,47283908,123380300,0,3,64,64,9,1989,1,0,25,0,9,4.7,0,0,0,1,1,1,1,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,23.6,24.1,0.4,0.4,4.7,5.4,99.99,N,0,N,0,0,8,8,7,7,N,1,88.1,1,53.6,7,7,N,5,9,8,,,0,821,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,6,0,0,,0,,Y,5,37,2042,0,Y,64,G,7,130.14
0,0,,60903000,#N/A,47.44583333,-123.7438917,0,1,0,53,6.0903E+13,1,6,0,22040,0,0,27,0,'WINEGLASS STREAM',,'NO DATA ENTERED','NO DATA ENTERED',99.99,0.48,0,0,0,47264500,123443801,0,3,64,64,9,1980,1,0,50,0,9,4.3,0,0,0,0,N,N,N,4,0,0,0,A,1,5,3,2,0,0,1,0,99.9,17.8,18.3,0,0,4.3,4.9,99.99,N,0,N,0,0,7,6,7,7,N,5,,5,,*,6,N,5,7,8,,,0,821,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,8,7,0,0,,0,,Y,5,75,2042,0,Y,64,F,6,89.67
1,0,,60903000,#N/A,47.4264,-123.8941833,0,1,0,53,6.0903E+13,1,6,0,22730,0,0,27,0,'BOULDER CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,1.76,0,0,0,47253504,123533906,0,3,64,64,9,1983,1,0,50,0,C,4.1,0,0,0,0,N,N,N,4,0,0,0,A,1,5,3,10,0,0,1,0,4.8,21.9,23.5,0,0,4.1,4.2,99.99,N,0,N,0,0,6,6,6,6,N,8,52.5,8,40.8,6,5,N,5,8,6,,,0,821,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,5,0,0,0,,0,,Y,4,75,2042,0,Y,64,F,6,98.7
0,0,,60903000,#N/A,47.38861111,-123.7964083,0,1,0,53,6.0903E+13,1,6,0,22800,0,0,27,0,'CHESTER CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,1.28,0,0,0,47231900,123474707,0,3,64,64,9,1957,1,0,50,0,5,4.3,0,20,0,1,N,N,N,4,0,0,0,A,1,5,2,7,0,0,3,0,99.9,18.3,29,0.4,0.4,4.3,5,99.99,N,0,N,0,0,7,7,8,8,N,1,35.4,1,24.5,6,6,N,5,8,8,,,0,821,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,4,75,2042,0,Y,64,G,7,145
0,0,,60903000,#N/A,47.35212222,-123.8609611,0,1,0,53,6.0903E+13,1,6,0,22200,0,0,27,0,'NEWBURY CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,4.32,0,0,0,47210764,123513946,0,3,26,64,9,2005,1,0,50,0,0,5.2,0,22,0,N,N,N,N,4,0,0,0,A,1,5,3,19,0,0,1,0,99.9,7.8,7.8,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,7,5,,5,,*,N,N,5,8,3,,,0,920,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,N,N,N,N,,0,,Y,5,75,2042,0,Y,64,G,7,40.56
0,0,,60903000,#N/A,47.57403056,-124.0214667,0,1,0,53,6.0903E+13,1,6,0,21600,0,0,31,0,'TRIB TO MATHENY CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,1.36,0,0,0,47342651,124011728,999,3,64,64,9,2004,1,0,15,2006,9,4.3,0,0,0,1,1,1,1,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,25.2,27,0.5,0.5,4.3,5.3,99.99,N,0,N,0,0,8,8,8,6,N,1,75.5,1,45.2,8,6,N,5,9,8,,,0,821,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,6,0,0,,0,,Y,9,22,2042,0,Y,64,G,8,143.1
0,0,,60903000,#N/A,47.5727,-124.0173278,0,1,0,53,6.0903E+13,1,6,0,21600,0,0,31,0,'TRIB. TO MATHENY CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,1.76,0,0,0,47342172,124010238,999,3,64,64,9,2004,1,0,15,2006,9,4.3,0,0,0,1,1,1,1,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,27.2,29,0,0,4.3,5.3,99.99,N,0,N,0,0,8,8,8,8,N,1,77.5,1,46.5,8,6,N,5,9,8,,,0,821,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,6,0,0,,0,,Y,9,22,2042,0,Y,64,G,8,153.7
0,0,,60903000,#N/A,47.37326111,-123.7887,0,1,0,53,6.0903E+13,1,6,0,22040,0,0,27,0,'ELK CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,5.6,0,0,0,47222374,123471932,999,3,64,64,9,2003,1,0,50,0,9,3.7,0,0,0,1,1,1,1,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,33,34,0,0,4.3,5.3,99.99,N,0,N,0,0,9,8,8,9,N,1,88.1,1,49.9,8,6,N,5,8,8,,,0,821,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,6,8,0,,0,,Y,8,75,2042,0,Y,64,G,8,180.2
1,1,,60903000,#N/A,47.33224167,-123.8836833,0,1,0,53,6.0903E+13,1,6,0,22200,0,0,27,0,'STEVENS CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,1.92,0,0,0,47195607,123530126,999,3,64,64,9,2005,1,0,10,2003,9,4.3,0,0,0,1,1,1,1,4,0,0,0,A,1,5,6,5,0,0,1,0,99.9,29,29.8,0.4,0.4,4.3,5,99.99,N,0,N,0,0,8,8,6,8,N,1,74.5,1,44.7,6,6,N,5,9,8,,,0,821,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,6,0,0,,0,,Y,8,15,2042,0,Y,64,F,6,149
0,0,,60903000,#N/A,47.57306389,-124.016125,0,1,0,53,6.0903E+13,1,6,0,21600,0,0,31,0,'MIDDLE FORK MATHENY',,'NO DATA ENTERED','1.9 MILES EAST OF 2100',99.99,3.04,0,0,0,47342303,124005805,158,3,64,64,9,2012,1,0,10,2013,9,4.3,0,0,0,1,1,1,1,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,26.8,27.6,0.3,0.3,4.3,4.9,99.99,N,0,N,0,0,9,7,9,9,N,8,48.3,8,37.6,7,6,N,5,9,7,,,0,920,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,6,0,0,,0,,Y,7,15,2042,0,Y,64,G,7,135.24
0,0,,60903000,#N/A,47.29085833,-123.8553028,0,1,0,53,6.0903E+13,1,6,0,22000,0,0,27,0,'OBRIEN CREEK',,'DONKEY CR ROAD','OFF HWY 101 3.7 MI FSR 22',99.99,5.92,0,0,0,47172709,123511909,999,3,64,64,9,2010,2,0,150,2006,A,8.5,0,0,0,1,1,1,1,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,54.2,55.7,0.5,0.5,8.5,9.5,99.99,N,0,N,0,0,9,7,9,9,N,1,80.8,1,47.2,7,6,N,5,9,8,,,0,820,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,0,0,0,20,0,,Y,9,225,2042,0,Y,64,G,7,529.15
1,0,,60903000,#N/A,47.33198889,-123.8231472,0,1,0,53,6.0903E+13,1,6,0,22030,0,0,27,0,'RAINBOW CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,2.4,0,0,0,47195516,123492333,999,3,64,64,9,2011,1,0,10,2014,A,4.9,0,0,0,1,1,1,1,4,0,0,0,A,1,5,3,2,0,0,1,0,99.9,27,28,0.1,0.1,4.9,5.1,99.99,N,0,N,0,0,8,8,7,8,N,1,56.3,1,33.6,7,3,N,5,9,8,,,0,821,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,6,8,0,0,,0,,Y,5,15,2042,0,Y,64,G,7,142.8
0,0,,60903000,#N/A,47.41730278,-123.528525,0,1,0,53,6.0903E+13,1,6,8,22000,0,0,27,0,'TRIB TO DONKEY CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,13.12,0,0,0,47250229,123314269,999,3,64,64,9,2013,2,0,400,2012,0,7.9,0,13,0,1,1,1,1,4,0,0,0,A,1,5,3,19,0,0,1,0,99.9,9.8,9.8,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,7,5,,5,,*,N,N,5,6,8,,,0,821,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,N,N,N,N,10,0,,Y,5,600,2042,0,Y,64,G,7,77.42
0,0,,60905000,#N/A,47.97105278,-124.3330306,0,1,0,53,6.0905E+13,1,6,0,29000,0,0,9,0,'N FK CALAWAH RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,5.76,0,0,0,47581579,124195891,0,3,64,64,9,1975,2,0,100,2006,5,8.5,0,30,1,1,1,1,0,4,0,0,0,A,1,5,2,5,0,0,3,0,99.9,30.5,57.9,0,0,8.5,9.3,99.99,N,0,N,0,0,7,7,7,7,N,1,35.4,1,24.5,6,7,N,5,7,6,,,0,920,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,5,150,2042,0,Y,64,G,7,538.47
0,0,,60905000,#N/A,47.96030278,-124.2558417,0,1,0,53,6.0905E+13,1,6,0,29000,0,0,9,0,'HYAS CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,12.8,0,0,0,47573709,124152103,0,3,64,64,9,1952,1,0,50,0,5,4.3,0,0,0,0,0,0,0,4,0,0,0,A,1,5,2,7,0,0,3,0,99.9,19.8,31.4,0,0,4.3,5.1,99.99,N,0,N,0,0,7,7,7,7,N,1,33.6,1,22.7,6,6,N,5,8,6,,,0,920,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,1,9,0,0,,0,,Y,8,75,2042,0,Y,64,G,7,160.14
0,0,,60905000,#N/A,47.95528611,-124.178625,0,1,0,53,6.0905E+13,1,6,0,29000,0,0,9,0,'RAINBOW CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,19.36,0,0,0,47571903,124104305,0,3,64,64,9,1977,1,0,50,2006,5,4.3,0,20,0,1,1,1,1,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,29.1,30.5,0.5,0.5,4.3,5.2,99.99,N,0,N,0,0,7,7,6,6,N,1,44.5,1,34.5,6,6,N,5,8,6,,,0,518,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,5,75,2042,0,Y,64,F,6,158.6
0,0,,60905000,#N/A,47.95083611,-124.1477972,0,1,0,53,6.0905E+13,1,6,0,29000,0,0,9,0,'N FORK SITKUM RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,22.4,0,0,0,47570301,124085207,0,3,64,64,9,1989,1,0,50,2006,9,4.3,0,0,0,1,1,1,1,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,34.9,35.4,0.3,0.3,4.3,4.9,99.99,N,0,N,0,0,7,7,7,8,N,1,75.4,1,37.2,7,6,N,5,9,6,,,0,820,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,6,0,0,,0,,Y,7,75,2042,0,Y,64,G,7,173.46
0,0,,60905000,#N/A,47.95253889,-124.0793583,0,1,0,53,6.0905E+13,1,6,0,29000,0,0,9,0,'BRANDEBERRY CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,28.368,0,0,0,47570914,124044569,0,3,64,64,9,1960,1,0,30,2006,C,4.3,0,0,0,1,0,0,0,4,0,0,0,A,1,5,2,7,0,0,3,0,99.9,23.2,34.1,0,0,4.3,5.1,99.99,N,0,N,0,0,7,7,7,8,N,1,48.1,1,34.5,7,6,N,5,8,6,,,0,820,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,5,45,2042,0,Y,64,G,7,173.91
0,0,,60905000,#N/A,47.95838333,-124.0589417,0,1,0,53,6.0905E+13,1,6,0,29000,0,0,9,0,'VAST CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,30.124,0,0,0,47573018,124033219,0,3,64,64,9,1978,1,0,30,2006,C,4.9,0,0,0,1,0,0,1,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,22.9,23.8,0.3,0.3,4.9,5.5,99.99,N,0,N,0,0,7,7,7,8,N,1,66.1,1,35.1,7,3,N,5,8,6,,,0,518,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,7,45,2042,0,Y,64,G,7,130.9
0,0,,60905000,#N/A,47.95028611,-124.1955556,0,1,0,53,6.0905E+13,1,6,0,29000,0,0,9,0,'SITKUM RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,0.16,0,0,0,47570103,124114400,0,3,64,64,9,1961,1,0,50,0,C,4.3,0,0,0,0,0,0,0,4,0,0,0,A,1,5,3,2,3,2,1,2,99.9,36.6,65.3,0,0,4.3,5.1,99.99,N,0,N,0,0,5,6,7,9,N,1,47.2,1,30.9,6,6,N,5,9,6,,,0,921,24,Y24,N  ,Y72,921,,719,,,,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,9,75,2042,0,Y,64,F,5,333.03
0,0,,60905000,#N/A,47.96668056,-124.0250139,0,1,0,53,6.0905E+13,1,6,0,29004,0,0,9,0,'SOUTH SITKUM RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,0.8,0,0,0,47580005,124013005,0,3,64,64,9,1982,1,0,50,0,C,4.3,0,0,0,1,1,1,1,4,0,0,0,A,1,5,5,2,0,0,1,0,99.9,32.5,33.5,0.3,0.3,4.3,4.9,99.99,N,0,N,0,0,7,7,8,8,N,1,89.9,1,38.1,7,6,N,5,8,6,,,0,820,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,9,75,2042,0,Y,64,G,7,164.15
0,0,,60905000,#N/A,48.04194444,-124.2766833,1,1,0,53,6.0905E+13,1,6,0,29020,0,0,9,0,'BOCKMAN CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,13.76,0,0,0,48023100,124163606,0,3,64,64,9,1987,1,0,35,0,9,4.3,0,15,0,N,N,N,N,4,0,0,0,A,1,5,5,1,0,0,1,0,99.9,12.2,12.5,0.3,0.3,4.3,4.9,99.99,N,0,N,0,0,8,8,6,7,N,1,90.8,1,56.3,6,6,N,5,9,8,,,0,821,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,6,0,0,,0,,Y,5,52,2042,0,Y,64,F,6,61.25
0,0,,60905000,#N/A,48.04277778,-124.2750139,1,1,0,53,6.0905E+13,1,6,0,29020,0,0,9,0,'TRIB TO BOCKMAN CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,13.92,0,0,0,48023400,124163005,0,3,64,64,9,1987,1,0,35,0,9,4.3,0,0,0,N,N,N,N,4,0,0,0,A,1,5,5,1,0,0,1,0,99.9,9.1,9.4,0.3,0.3,4.3,4.9,99.99,N,0,N,0,0,8,8,7,7,N,1,90.8,1,62.7,7,6,N,5,9,8,,,0,821,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,6,0,0,,0,,Y,5,52,2042,0,Y,64,G,7,46.06
1,1,,60905000,#N/A,48.04777778,-123.9705694,0,1,0,53,6.0905E+13,1,6,0,29180,0,0,9,0,'SOLEDUCK RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,4.8,0,0,0,48025200,123581405,0,3,64,64,9,1963,1,0,50,0,C,4.3,0,0,0,0,0,0,0,4,0,0,0,A,1,5,3,2,3,2,1,2,99.9,27.4,49.1,0,0,4.3,5.1,99.99,N,0,N,0,0,6,6,6,7,N,1,40.9,1,28.1,6,6,N,5,8,6,,,0,921,24,Y24,N  ,Y72,921,,719,,,,,,,               ,0,N,3,,0,0,0,1,5,0,0,,0,,Y,4,75,2042,0,Y,64,F,6,250.41
1,1,,60905000,#N/A,48.03861111,-123.9530556,0,1,0,53,6.0905E+13,1,6,0,29180,0,0,9,0,'SO FK SOLEDUCK RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,6.56,0,0,0,48021900,123571100,0,3,64,64,9,1956,1,0,50,0,5,4.3,0,0,0,0,0,0,0,4,0,0,0,A,1,5,7,2,0,0,3,0,99.9,18.3,25.8,0,0,4.3,5.1,99.99,N,0,N,0,0,7,7,7,8,N,2,46.3,2,31.8,7,6,N,5,7,8,,,0,518,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,8,6,0,0,,0,,Y,7,75,2042,0,Y,64,G,7,131.58
1,1,,60905000,#N/A,48.02284722,-124.1107583,0,1,0,53,6.0905E+13,1,6,0,29220,0,0,9,0,'N FK CALAWAH RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,2.56,0,0,0,48012225,124063873,0,3,64,64,9,1950,1,0,50,0,5,4.3,0,0,0,1,0,0,0,4,0,0,0,A,1,5,2,7,0,0,3,0,99.9,18.3,30.5,0.5,0.5,4.3,5.3,99.99,N,0,N,0,0,7,7,7,6,N,1,30,1,20.9,6,6,N,5,8,6,,,0,920,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,1,5,0,0,,0,,Y,5,75,2042,0,Y,64,G,7,161.65
1,1,,60905000,#N/A,48.01556667,-124.1344667,0,1,0,53,6.0905E+13,1,6,0,29220,0,0,9,0,'N FK CALAWAH RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,1.6,0,0,0,48005604,124080408,0,3,64,64,9,1955,1,0,50,0,5,4.3,0,20,0,1,0,0,0,4,0,0,0,A,1,5,2,7,0,0,3,0,99.9,18.3,30.5,0,0,4.3,5.1,99.99,N,0,N,0,0,7,7,7,7,N,1,30.9,1,20.9,6,6,N,5,7,6,,,0,920,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,5,75,2042,0,Y,64,G,7,155.55
1,0,,60905000,#N/A,48.00835833,-124.1761278,0,1,0,53,6.0905E+13,1,6,0,29230,0,0,9,0,'NORTH FORK CALAWAH',,'NO DATA ENTERED','NO DATA ENTERED',99.99,18.56,0,0,0,48003009,124103406,0,3,64,64,9,1953,1,0,35,2018,5,4.3,0,0,0,1,0,0,0,4,0,0,0,A,1,5,5,2,1,2,1,2,99.9,19.9,38.3,0,0,4.3,5,99.99,N,0,N,0,0,6,6,7,7,N,1,35.4,1,23.6,6,6,N,5,9,6,,,0,518,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,1,4,0,0,,0,,Y,8,52,2042,0,Y,64,F,6,191.5
1,1,,60905000,#N/A,48.01945556,-124.2097444,0,1,0,53,6.0905E+13,1,6,0,29230,0,0,9,0,'N FK CALAWAH RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,1.76,0,0,0,48011004,124123508,0,3,64,64,9,1958,1,0,50,0,5,4.3,0,20,0,1,0,0,0,4,0,0,0,A,1,5,2,7,0,0,3,0,99.9,25.9,38.1,0,0,4.3,5.1,99.99,N,0,N,0,0,7,7,7,7,N,1,31.8,1,21.8,6,6,N,5,8,6,,,0,920,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,5,75,2042,0,Y,64,G,7,194.31
0,0,,60905000,#N/A,48.06279167,-124.0450222,0,1,0,53,6.0905E+13,1,6,0,29290,0,0,9,0,'CAMP CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,2.72,0,0,0,48034605,124024208,0,3,64,64,9,1984,1,0,50,0,C,4.3,0,0,0,0,N,N,N,4,0,0,0,A,1,5,3,2,0,0,1,0,99.9,17.8,18.3,0.3,0.3,4.3,4.9,99.99,N,0,N,0,0,7,5,7,6,N,5,,5,,*,6,N,5,8,8,,,0,920,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,8,0,0,0,,0,,Y,8,75,2042,0,Y,64,F,5,89.67
0,0,,60905000,#N/A,47.963075,-124.2939528,0,1,0,53,6.0905E+13,1,6,0,29320,0,0,9,0,'SOUTH FK CALAWAH RIVER',,'NO DATA ENTERED','NO DATA ENTERED',99.99,0.035,0,0,0,47574707,124173823,0,3,64,64,9,1960,1,0,50,0,C,4.3,0,0,0,0,N,N,N,4,0,0,0,A,1,5,3,2,1,2,1,2,99.9,38.7,73.8,0.4,1.2,4.3,5.9,99.99,N,0,N,0,0,6,6,6,7,N,2,48.1,2,32.7,6,6,N,5,9,6,,,0,921,24,Y24,N  ,Y72,921,,719,,,,,,,               ,0,N,3,,0,0,0,1,6,0,0,,0,,Y,4,75,2042,0,Y,64,F,6,435.42
0,0,,60905000,#N/A,48.08722778,-124.1736139,0,1,0,53,6.0905E+13,1,6,0,30060,0,0,9,0,'BEAR CREEK',,'NO DATA ENTERED','NO DATA ENTERED',99.99,0.32,0,0,0,48051402,124102501,0,3,64,64,9,1963,1,0,50,0,5,4.3,0,20,0,0,N,N,N,4,0,0,0,A,1,5,7,2,0,0,1,0,99.9,15.8,16.6,0.3,0.3,4.3,4.9,99.99,N,0,N,0,0,5,7,6,6,N,2,34.5,2,22.7,6,6,N,5,8,8,,,0,920,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,8,7,0,0,,0,,Y,9,75,2042,0,Y,64,F,5,81.34
